date	file	pass_1_opening	pass_2_grammar_references	pass_3_background_standalone	overall	evidence
2026-03-12	diary/2026-03-12_無印の乾いた肴.md	PASS	PASS	PASS	PASS	位置記録テストと購入品を具体化
2026-03-13	diary/2026-03-13_いまここ.md	PASS	PASS	PASS	PASS	神話製作機械を十九人のAI人格による日記読解構造と定義
2026-03-14	diary/2026-03-14_大奥の地図.md	PASS	PASS	PASS	PASS	大奥AIを三十二人の日記読み手として示し、四班の役割と全員を毎日出さない理由を説明
2026-03-15	diary/2026-03-15_一本六千円の祝杯.md	PASS	PASS	PASS	PASS	一本六千円のビール三本と、弱った夜に短い出口を出す走馬灯モードを対比
2026-03-16	diary/2026-03-16_華強北路で会おう.md	PASS	PASS	PASS	PASS	スマートウォッチの心拍・睡眠・血中酸素を大奥AIへ渡す目的と深圳旅行を説明
2026-03-17	diary/2026-03-17_ファーチャンベイ.md	PASS	PASS	PASS	PASS	語呂合わせと二つの固有名詞をその場で説明
2026-03-18	diary/2026-03-18_COMPの画面は閉じていない.md	PASS	PASS	PASS	PASS	女神転生の記憶と現在のAI画面を双方説明
2026-03-19	diary/2026-03-19_選択肢のある建物.md	PASS	PASS	PASS	PASS	ビジュアルノベルの目的と分岐を具体化
2026-03-20	diary/2026-03-20_各駅停車の秋葉原.md	PASS	PASS	PASS	PASS	移動と各店の順番が追える
2026-03-21	diary/2026-03-21_血中アルコール飽和度.md	PASS	PASS	PASS	PASS	二日酔いと健康値の食い違いが明確
2026-03-22	diary/2026-03-22_正史のない世界.md	PASS	PASS	PASS	PASS	YU-NOとA.D.M.S.を初見向けに説明
2026-03-23	diary/2026-03-23_ゴモミの偽火事.md	PASS	PASS	PASS	PASS	五目味噌タンメン、企業の公式キャラクターAI、生活記録の監視性を各段落で独立して説明
2026-03-24	diary/2026-03-24_魚晴の夜に風を予約する.md	PASS	PASS	PASS	PASS	外食と新作ゲームの二題をそれぞれ説明
2026-03-25	diary/2026-03-25_武器の手入れ.md	PASS	PASS	PASS	PASS	Difyの用途、翌日の社内説明会、デモ前の修正、AI読み手の選抜を順に説明
2026-03-26	diary/2026-03-26_最強のふたり.md	PASS	PASS	PASS	PASS	佐治敬三と開高健の関係を説明し、異なる視点を保つ大奥AIの設計へ接続
2026-03-27	diary/2026-03-27_夢の中の花見.md	PASS	PASS	PASS	PASS	花見の準備と早寝の判断が明確
2026-03-28	diary/2026-03-28_代々木公園のゴミたち.md	PASS	PASS	PASS	PASS	大学同好会の花見、二次会、アイコンから性別を誤認した話を時系列で完結
2026-03-29	diary/2026-03-29_ゴミカスのあとで世界が進む.md	PASS	PASS	PASS	PASS	酒の整理と制作作業を時系列で説明
2026-03-30	diary/2026-03-30_夜がくる.md	PASS	PASS	PASS	PASS	在宅日と本由来の制作と楽曲を説明
2026-03-31	diary/2026-03-31_敗北を知りたい.md	PASS	PASS	PASS	PASS	IPA情報処理技術者試験の高度区分と長文論文方式、変更時期を本文内で説明
2026-04-01	diary/2026-04-01_大学2年生になりました.md	PASS	PASS	PASS	PASS	四十代での再入学という背景を本文内に提示
2026-04-02	diary/2026-04-02_願いを掲げた夜.md	PASS	PASS	PASS	PASS	履修登録支援サービスの用途を冒頭で説明
2026-04-04	diary/2026-04-04_夜の順番.md	PASS	PASS	PASS	PASS	魚の店と馬肉料理の店を同じ夜に回った、四月最初の週末の短い外食記録として完結
2026-04-06	diary/2026-04-06_怒っているだけで疲れる日.md	PASS	PASS	PASS	PASS	飲み会と仕事で疲れた原因を具体化
2026-04-07	diary/2026-04-07_月まで行くには.md	PASS	PASS	PASS	PASS	王将という三色アイスの商品名、箱の将棋駒、三つの味を具体的に説明
2026-04-09	diary/2026-04-09_雨宿りだったものが運命になる.md	PASS	PASS	PASS	PASS	御坊での足止めと美浜町の宿泊を説明
2026-04-11	diary/2026-04-11_世界観を更新したら縄文だった.md	PASS	PASS	PASS	PASS	移動経路と縄文への冗談を自分で補足
2026-04-12	diary/2026-04-12_かなり良かったと言う.md	PASS	PASS	PASS	PASS	一日の行動列が具体的で評価の根拠になる
2026-04-13	diary/2026-04-13_爆発の手前で配線を信じる.md	PASS	PASS	PASS	PASS	アルコールチェッカーの目的と限界を説明
2026-04-14	diary/2026-04-14_霞ケ関から豊洲まで.md	PASS	PASS	PASS	PASS	霞ケ関駅から豊洲のNTTデータへ仕事で移動した事実を、前日の机上作業と対比
2026-04-15	diary/2026-04-15_配線図の先生が机に来た.md	PASS	PASS	PASS	PASS	部品と目標とAIの役割を具体化
2026-04-16	diary/2026-04-16_シラフの値を先に測る.md	PASS	PASS	PASS	PASS	基準値を取る理由が単独で理解できる
2026-04-17	diary/2026-04-17_町田で辛さを足す.md	PASS	PASS	PASS	PASS	アルコールセンサーの数字を待つ数日と町田の中本への外出を短い気分転換として接続
2026-04-18	diary/2026-04-18_三千万円を越えた通帳.md	PASS	PASS	PASS	PASS	資産額の範囲と感情を具体的に説明
2026-04-19	diary/2026-04-19_魂を預ける二つの器.md	PASS	PASS	PASS	PASS	AIと抱き枕の比較条件を本文内で提示
2026-04-20	diary/2026-04-20_酔いを数字にする夜.md	PASS	PASS	PASS	PASS	自作機器と未提供のAI機能を対比
2026-04-21	diary/2026-04-21_ロボットに何を求めるか.md	PASS	PASS	PASS	PASS	価格から必要な身体機能へ論点を展開
2026-04-22	diary/2026-04-22_アネモイという音だけ残る.md	PASS	PASS	PASS	PASS	ZEN大学ウイスキー同好会の架空ポスター、合いの手、麦畑の二枚目を順に説明
2026-04-23	diary/2026-04-23_中本で拾った政治パロディ.md	PASS	PASS	PASS	PASS	実在機種でない他人の冗談と明記
2026-04-24	diary/2026-04-24_未読が増える速度.md	PASS	PASS	PASS	PASS	授業と生成量の問題を説明し語感遊びも別枠化
2026-04-25	diary/2026-04-25_幕張で未来の身体を見る.md	PASS	PASS	PASS	PASS	超会議の規模と注目した展示を具体化
2026-04-26	diary/2026-04-26_二百円のビールは誰が支えるか.md	PASS	PASS	PASS	PASS	缶ビールと超会議の共通点を明示
2026-04-27	diary/2026-04-27_年収四千万円の資格予報.md	PASS	PASS	PASS	PASS	極端な年収予報を冗談と明記し根拠を説明
2026-04-28	diary/2026-04-28_論理の外で問いを作る.md	PASS	PASS	PASS	PASS	AIの入試能力を起点に、答えより問いを作る役割へ論旨を一日分で完結
2026-04-29	diary/2026-04-29_箱崎の建物を思い出す.md	PASS	PASS	PASS	PASS	IBM箱崎と現在の制作をそれぞれ説明
2026-04-30	diary/2026-04-30_二十五分を英語で渡り切る.md	PASS	PASS	PASS	PASS	英語を話しながら機械を動かす二十五分の発表と、資料作成でAIを使った範囲を説明
2026-05-01	diary/2026-05-01_赤いスープの信号.md	PASS	PASS	PASS	PASS	町田の中本を五月最初の外食とし、翌日の中国出発との順番を短く記録
2026-05-02	diary/2026-05-02_白雲の入口.md	PASS	PASS	PASS	PASS	広州白雲国際空港到着、案内・通貨・通信の変化、翌日の深圳行きを説明
2026-05-03	diary/2026-05-03_華強北で光る基板.md	PASS	PASS	PASS	PASS	移動と華強北で見た物を具体化
2026-05-04	diary/2026-05-04_テンセントの塔の下.md	PASS	PASS	PASS	PASS	テンセント本社と深圳大学を回り、入口で止められた出来事まで具体化
2026-05-05	diary/2026-05-05_技術都市のビール.md	PASS	PASS	PASS	PASS	ビール会社施設と電子市場を供給網で接続
2026-05-06	diary/2026-05-06_香港の乾物航路.md	PASS	PASS	PASS	PASS	土産と国境移動の手順を具体的に説明
2026-05-07	diary/2026-05-07_鹵水鵝だけが光る.md	PASS	PASS	PASS	PASS	料理名を調理法まで説明し帰国後へ接続
2026-05-08	diary/2026-05-08_町田のそばで整う.md	PASS	PASS	PASS	PASS	中国三都市の移動後に町田の立ち食いそばへ戻る、旅から日常への短い帰着として完結
2026-05-09	diary/2026-05-09_リニューアル絵の憂鬱.md	PASS	PASS	PASS	PASS	シュタインズ・ゲート、Kanon、AIRを特定し、絵の描き直しへの違和感を説明
2026-05-10	diary/2026-05-10_深圳熱のコンパイル.md	PASS	PASS	PASS	PASS	映像技術と深圳体験の関係を説明
2026-05-11	diary/2026-05-11_いいね労働者の国.md	PASS	PASS	PASS	PASS	生成量と受け手不足から仮説を組み立てている
2026-05-12	diary/2026-05-12_GLSLの壁を殴る.md	PASS	PASS	PASS	PASS	GLSLの難所と卒業制作への用途を説明
2026-05-14	diary/2026-05-14_画面の中の本命.md	PASS	PASS	PASS	PASS	ゲームやアニメで好きになった人物を冒頭の対象とし、人形・会話AI・画面内の動きの差を説明
2026-05-16	diary/2026-05-16_藤沢のシェーダー.md	PASS	PASS	PASS	PASS	Spout・DirectX・GLSLの役割と、サンダースネイクと名づけた光の映像を説明
2026-05-17	diary/2026-05-17_藤沢ナイトルート.md	PASS	PASS	PASS	PASS	四軒と飲み過ぎの結果が具体的
2026-05-18	diary/2026-05-18_呼気を光にする部屋.md	PASS	PASS	PASS	PASS	機器構成と作品目的を初見向けに説明
2026-05-19	diary/2026-05-19_文字が絵になる速度.md	PASS	PASS	PASS	PASS	読む側の変換という問題と限界を説明
2026-05-20	diary/2026-05-20_品川の深い注意.md	PASS	PASS	PASS	PASS	品川の会場訪問を起点に、生成物へ向ける時間をディープ・アテンションとして定義
2026-05-21	diary/2026-05-21_トランスおじさんの祭壇.md	PASS	PASS	PASS	PASS	池田大作ダンスとナヒーダを組み合わせた動画、トランスの曲調、選んだ気分を説明
2026-05-23	diary/2026-05-23_新大久保の宇宙通信.md	PASS	PASS	PASS	PASS	新大久保の中国料理、泥酔したAI会話、cosmeticsからcosmosへの連想を自然な助詞で分離
2026-05-24	diary/2026-05-24_社内FDEの生活設計.md	PASS	PASS	PASS	PASS	FDEを正式名称と役割から説明
2026-05-28	diary/2026-05-28_着ぐるみフェンシング協会.md	PASS	PASS	PASS	PASS	架空団体であることと連想の根拠を明記
2026-05-29	diary/2026-05-29_町田の赤い補給線.md	PASS	PASS	PASS	PASS	五月二度目の中本を、海外・藤沢・品川・新大久保を回った月の始点と終点として説明
2026-06-05	diary/2026-06-05_フィリピン予報の辛味.md	PASS	PASS	PASS	PASS	旅行予定と先入観と当日の食事を整理
2026-06-09	diary/2026-06-09_開成あじさい呼吸.md	PASS	PASS	PASS	PASS	比喩を実際の行動へ言い直している
2026-06-10	diary/2026-06-10_小田原斎場の静かな装置.md	PASS	PASS	PASS	PASS	祖母を送るため小田原市斎場へ向かった日と、前日のあじさい行きを同じ経路で対比
2026-06-12	diary/2026-06-12_大往生の家鳴り.md	PASS	PASS	PASS	PASS	祖母の死と家や相続の問題を明示
2026-06-13	diary/2026-06-13_獣王AIの機械割.md	PASS	PASS	PASS	PASS	パチスロ試験とAI規制の比較条件を説明
2026-06-14	diary/2026-06-14_OLD_is_NEWの白.md	PASS	PASS	PASS	PASS	OLD is NEWを古いゲームや音楽を現在の目で見直す標語として具体化
2026-06-15	diary/2026-06-15_ドット娼館のUI研究.md	PASS	PASS	PASS	PASS	ゲーム名と題材とUI観察点を説明
2026-06-17	diary/2026-06-17_I_SAY_YESの残響.md	PASS	PASS	PASS	PASS	I SAY YESをゼロの使い魔第二期の主題歌、二〇〇七年の曲と説明した一曲の日記
2026-06-19	diary/2026-06-19_オートマタのそば.md	PASS	PASS	PASS	PASS	オートマタ史と家庭用ロボットへの仮説を説明
2026-06-20	diary/2026-06-20_遊びを分析してしまう日.md	PASS	PASS	PASS	PASS	昨日の有給と今日の反動を明示し、ドットアビスの三つの不満を遊びの分析癖へ接続
2026-06-21	diary/2026-06-21_蝉の鳴く化学.md	PASS	PASS	PASS	PASS	独学の理由と言葉遊びを明示
2026-06-25	diary/2026-06-25_自由の名を持つ塔.md	PASS	PASS	PASS	PASS	午後四時十四分のリバティタワーを明治大学駿河台キャンパスの高層校舎と説明する短い訪問記録
2026-07-03	diary/2026-07-03_町田で辛い食事.md	PASS	PASS	PASS	PASS	五月以降四度目の中本として過去三回の日付と、町田の生活内での位置づけを説明
2026-07-04	diary/2026-07-04_7月は水で乾杯.md	PASS	PASS	PASS	PASS	断酒を決めた具体的な経緯と期間を説明
2026-07-11	diary/2026-07-11_契約欄の一行.md	PASS	PASS	PASS	PASS	AI利用と問い合わせの顛末が追える
2026-07-12	diary/2026-07-12_秩序を書き換える力.md	PASS	PASS	PASS	PASS	AIへ尋ねた質問、返答、秩序を書き換える力、人間蒸留器の意味を順に説明
2026-07-13	diary/2026-07-13_川底で人間に戻りたい.md	PASS	PASS	PASS	PASS	麻布台ヒルズとAmazon・AWS訪問、川底のビール願望、七月の断酒を本文内で区別
2026-07-15	diary/2026-07-15_お守りへの弔辞.md	PASS	PASS	PASS	PASS	まどか、キュゥべえ、身代守り、本編の契約と自己犠牲、RIPを返した理由を説明
2026-07-21	diary/2026-07-21_資格の先の商流.md	PASS	PASS	PASS	PASS	資格取得と収入の差を商流で説明
2026-07-24	diary/2026-07-24_値札を付ける側.md	PASS	PASS	PASS	PASS	比較対象のない朝の短文を本文へ混ぜず、五月以降五度目の中本として夜の訪問だけを完結
2026-07-27	diary/2026-07-27_同じ顔が9人立つまで.md	PASS	PASS	PASS	PASS	画像から動く身体を作る工程と未完成部分を説明
2026-07-28	diary/2026-07-28_起こしてくれたら輝く季節.md	PASS	PASS	PASS	PASS	一枚絵から立体化・骨格・姿勢転送・VRM出力までを説明し、ONEの曲は作業終了後の選曲として分離
